,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Millerton village, New York: Summary level: 160, state:36> place:47361",416,23,16,56,27,61,38,56,33,74,53,146,139
"Staatsburg CDP, New York: Summary level: 160, state:36> place:70552",158,8,8,28,0,0,0,12,12,36,36,74,74
"Avon village, New York: Summary level: 160, state:36> place:03353",1328,71,53,127,71,126,82,148,91,212,166,644,587
"Mattituck CDP, New York: Summary level: 160, state:36> place:46140",1940,117,117,22,22,182,143,85,43,240,223,1294,1176
"Melville CDP, New York: Summary level: 160, state:36> place:46514",6681,191,176,258,130,491,414,497,455,865,749,4379,4203
"Liverpool village, New York: Summary level: 160, state:36> place:42884",1098,58,41,86,47,184,128,154,89,260,197,356,317
"Mattydale CDP, New York: Summary level: 160, state:36> place:46151",2419,82,43,304,135,456,313,415,281,560,488,602,581
"Glen Head CDP, New York: Summary level: 160, state:36> place:29245",1712,50,34,91,60,116,86,77,64,157,149,1221,1192
"Great Neck Plaza village, New York: Summary level: 160, state:36> place:30213",3831,178,87,217,132,667,475,240,226,522,366,2007,1881
"Laurel Hollow village, New York: Summary level: 160, state:36> place:41487",583,37,26,9,9,16,16,7,7,41,41,473,457
"Long Beach city, New York: Summary level: 160, state:36> place:43335",14366,455,351,766,379,1611,1101,1098,946,2010,1779,8426,8041
"Muttontown village, New York: Summary level: 160, state:36> place:49330",1209,52,52,23,23,13,13,17,17,108,102,996,949
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",137,0,0,0,0,9,9,0,0,7,7,121,96
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",4112,41,16,185,107,311,170,302,221,451,374,2822,2752
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",1908,70,24,110,16,180,116,82,54,217,176,1249,1230
"Greenlawn CDP, New York: Summary level: 160, state:36> place:30543",4399,139,101,263,128,393,190,357,270,512,477,2735,2502
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",13677,609,326,809,438,1308,797,1592,1177,2370,1891,6989,6048
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",1245,11,11,21,21,107,75,116,84,184,120,806,765
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",702,7,7,0,0,81,23,25,25,104,87,485,395
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",53,0,0,0,0,0,0,0,0,0,0,53,35
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",2397,90,53,217,121,238,238,82,82,312,283,1458,1400
"Northport village, New York: Summary level: 160, state:36> place:53396",2999,107,107,97,82,324,324,218,198,309,281,1944,1853
"West Islip CDP, New York: Summary level: 160, state:36> place:80302",8476,211,159,233,179,480,382,464,431,1046,945,6042,5749
"Wyandanch CDP, New York: Summary level: 160, state:36> place:83294",2744,172,108,182,124,454,314,330,225,431,404,1175,1025
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",1458,17,17,20,0,68,21,96,53,81,81,1176,1129
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",787,7,7,15,7,24,13,7,7,81,81,653,630
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",3671,66,57,113,43,215,195,153,105,394,361,2730,2625
"Asharoken village, New York: Summary level: 160, state:36> place:02737",173,6,6,5,5,6,0,6,6,5,5,145,136
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",657,17,10,27,17,48,48,41,41,73,73,451,433
"Marathon village, New York: Summary level: 160, state:36> place:45392",339,8,0,39,27,52,34,72,55,74,46,94,68
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",2477,41,32,59,47,179,157,124,91,351,341,1723,1644
"Altamont village, New York: Summary level: 160, state:36> place:01517",690,27,4,56,24,42,35,105,81,129,82,331,320
"Blasdell village, New York: Summary level: 160, state:36> place:06849",1183,89,28,168,34,190,119,164,124,175,152,397,355
"Buffalo city, New York: Summary level: 160, state:36> place:11000",110701,14984,7660,18793,9581,20526,13244,15210,11392,16307,13467,24881,22522
"Kenmore village, New York: Summary level: 160, state:36> place:39232",7009,295,156,679,247,1042,640,783,626,1239,1109,2971,2784
"Valhalla CDP, New York: Summary level: 160, state:36> place:76639",1149,19,9,86,77,85,66,98,79,155,138,706,684
"Lincolndale CDP, New York: Summary level: 160, state:36> place:42455",548,36,24,0,0,49,49,33,33,67,67,363,346
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",28073,1181,737,2354,1214,2982,2141,2671,2033,4164,3525,14721,13979
"Peach Lake CDP, New York: Summary level: 160, state:36> place:56869",622,11,11,0,0,39,39,34,34,94,76,444,444
"Perry village, New York: Summary level: 160, state:36> place:57243",1404,50,16,142,107,277,176,223,181,310,292,402,385
"Dryden village, New York: Summary level: 160, state:36> place:20951",861,44,44,100,75,122,70,69,44,164,160,362,352
"Fonda village, New York: Summary level: 160, state:36> place:26462",284,7,0,51,36,42,27,36,22,41,31,107,107
"St. Johnsville village, New York: Summary level: 160, state:36> place:64639",708,77,40,87,69,181,100,137,97,111,105,115,106
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",566,0,0,41,15,86,43,111,111,110,89,218,182
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",796,47,16,92,72,90,59,182,146,127,103,258,250
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",451,14,14,21,18,70,38,47,45,38,38,261,261
"Stannards CDP, New York: Summary level: 160, state:36> place:70717",271,0,0,50,31,28,25,57,51,37,21,99,84
"Williamsville village, New York: Summary level: 160, state:36> place:82084",2431,117,65,175,126,263,197,328,306,533,490,1015,976
"Bridgewater CDP, New York: Summary level: 160, state:36> place:08169",177,9,6,15,4,36,31,44,32,33,29,40,29
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",942,87,26,154,89,157,94,96,76,160,114,288,278
"Huntington CDP, New York: Summary level: 160, state:36> place:36233",7053,282,265,421,337,319,172,541,387,824,733,4666,4584
"Huntington Station CDP, New York: Summary level: 160, state:36> place:37044",10017,445,349,634,439,636,395,1111,827,1557,1420,5634,5160
"Lloyd Harbor village, New York: Summary level: 160, state:36> place:43005",1234,37,37,7,7,36,32,32,32,105,105,1017,969
"Northville CDP, New York: Summary level: 160, state:36> place:53775",583,0,0,0,0,20,20,102,102,94,33,367,341
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",1654,38,38,96,83,91,91,126,126,132,89,1171,1006
"Old Field village, New York: Summary level: 160, state:36> place:54617",301,4,4,12,12,8,6,4,4,9,9,264,255
"Setauket-East Setauket CDP, New York: Summary level: 160, state:36> place:66481",4865,81,54,131,96,151,124,330,244,548,488,3624,3545
"Wainscott CDP, New York: Summary level: 160, state:36> place:77805",132,10,0,2,2,0,0,7,0,21,14,92,56
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",418,36,16,74,29,70,22,61,37,79,64,98,92
"South Dayton village, New York: Summary level: 160, state:36> place:68891",277,23,19,29,4,57,40,47,30,77,66,44,41
"West Carthage village, New York: Summary level: 160, state:36> place:79499",718,84,45,135,77,112,103,115,101,132,127,140,136
"Speculator village, New York: Summary level: 160, state:36> place:70123",72,3,1,4,3,8,8,7,4,21,17,29,18
"Fleischmanns village, New York: Summary level: 160, state:36> place:26209",98,6,0,18,8,16,12,22,18,11,6,25,25
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",2272,142,93,167,57,188,107,339,339,495,451,941,941
"Milton CDP (Saratoga County), New York: Summary level: 160, state:36> place:47548",1268,29,0,78,32,55,44,128,112,230,200,748,748
"Hewlett Neck village, New York: Summary level: 160, state:36> place:34319",143,0,0,0,0,0,0,3,3,4,4,136,136
"Jericho CDP, New York: Summary level: 160, state:36> place:38539",4682,190,159,66,48,215,148,176,168,279,238,3756,3677
"Lawrence village, New York: Summary level: 160, state:36> place:41553",2162,47,47,31,14,122,78,136,136,410,343,1416,1383
"Manorhaven village, New York: Summary level: 160, state:36> place:45106",2457,93,19,98,83,221,187,358,282,276,257,1411,1295
"Merrick CDP, New York: Summary level: 160, state:36> place:46668",6906,118,81,212,153,382,263,249,222,444,367,5501,5329
"Mineola village, New York: Summary level: 160, state:36> place:47636",7456,211,179,196,88,493,360,693,487,994,734,4869,4696
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",3290,257,189,249,164,251,199,350,292,409,390,1774,1626
"North Hills village, New York: Summary level: 160, state:36> place:53022",2658,21,21,77,37,189,73,116,81,274,234,1981,1679
"Jamestown West CDP, New York: Summary level: 160, state:36> place:38275",1068,8,8,93,55,148,77,162,82,278,251,379,351
"Sinclairville village, New York: Summary level: 160, state:36> place:67488",279,21,17,44,28,61,33,44,30,43,38,66,61
"Castorland village, New York: Summary level: 160, state:36> place:12881",119,12,4,30,17,18,7,10,9,16,16,33,33
"Livonia village, New York: Summary level: 160, state:36> place:42950",527,3,3,68,49,67,41,65,50,102,90,222,207
"Norwood village, New York: Summary level: 160, state:36> place:54012",711,46,11,90,59,139,101,89,87,151,143,196,187
"Binghamton city, New York: Summary level: 160, state:36> place:06607",19873,2704,1781,3896,2195,3810,2555,2479,2105,3090,2637,3894,3486
"Whitney Point village, New York: Summary level: 160, state:36> place:81831",390,32,4,52,10,110,54,57,46,47,41,92,82
"Bergen village, New York: Summary level: 160, state:36> place:06046",426,8,8,38,21,52,39,72,58,85,77,171,168
"West Hampton Dunes village, New York: Summary level: 160, state:36> place:80186",28,0,0,0,0,7,7,2,2,2,2,17,17
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",528,9,9,103,73,98,56,37,31,120,120,161,161
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",388,11,7,33,14,63,48,75,70,67,65,139,137
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",439,30,30,134,21,43,13,46,38,63,47,123,123
"Palenville CDP, New York: Summary level: 160, state:36> place:56132",393,0,0,55,43,53,44,29,29,19,19,237,211
"Poland village, New York: Summary level: 160, state:36> place:58937",143,10,6,22,10,11,10,25,25,19,19,56,52
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",1053,0,0,25,11,114,114,128,105,188,188,598,576
"Haviland CDP, New York: Summary level: 160, state:36> place:32776",1351,20,20,80,58,167,122,161,141,226,189,697,658
"Pawling village, New York: Summary level: 160, state:36> place:56814",897,33,19,72,22,142,102,77,57,177,138,396,363
"Red Oaks Mill CDP, New York: Summary level: 160, state:36> place:60983",1236,23,11,27,11,103,70,116,116,167,147,800,772
"Hillcrest CDP, New York: Summary level: 160, state:36> place:34693",1792,66,10,39,17,112,95,167,141,304,198,1104,980
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",2648,33,17,274,196,326,235,321,237,379,345,1315,1231
"Preston-Potter Hollow CDP, New York: Summary level: 160, state:36> place:59831",118,0,0,4,0,44,20,20,14,14,11,36,33
"Shortsville village, New York: Summary level: 160, state:36> place:67257",517,43,30,19,11,63,43,86,61,84,78,222,216
"Gorham CDP, New York: Summary level: 160, state:36> place:29520",230,27,27,9,9,19,19,18,18,34,34,123,123
"Groveland Station CDP, New York: Summary level: 160, state:36> place:31022",93,0,0,15,0,8,6,2,2,26,26,42,40
"Guilford CDP, New York: Summary level: 160, state:36> place:31137",146,10,0,35,22,20,20,16,9,23,23,42,42
"Hailesboro CDP, New York: Summary level: 160, state:36> place:31346",291,0,0,25,25,68,35,72,72,70,70,56,56
"Hadley CDP, New York: Summary level: 160, state:36> place:31258",372,22,17,26,10,44,7,94,83,86,82,100,87
"Tillson CDP, New York: Summary level: 160, state:36> place:73902",620,22,22,43,6,62,24,64,64,50,50,379,379
"Saranac Lake village, New York: Summary level: 160, state:36> place:65233",2489,143,65,373,198,340,200,448,343,429,341,756,732
"Albion village, New York: Summary level: 160, state:36> place:01033",2274,80,25,424,103,489,402,297,284,369,315,615,575
"Medina village, New York: Summary level: 160, state:36> place:46415",2691,318,260,404,259,478,354,436,329,521,461,534,520
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",2187,61,49,179,87,161,130,178,148,392,281,1216,1117
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",1144,11,6,22,11,90,50,72,66,136,130,813,785
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",1124,60,30,69,0,56,47,92,82,263,263,584,543
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",8248,437,291,642,325,982,608,865,704,1151,959,4171,3936
"Ames village, New York: Summary level: 160, state:36> place:01737",52,2,1,4,2,6,6,7,5,7,4,26,20
"Fultonville village, New York: Summary level: 160, state:36> place:27859",251,17,17,31,3,31,23,61,50,43,43,68,56
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",127,0,0,0,0,19,19,0,0,0,0,108,108
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",402,19,17,14,10,75,45,62,55,78,59,154,144
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",577,36,36,0,0,88,48,80,80,97,82,276,244
"Rouses Point village, New York: Summary level: 160, state:36> place:63979",1009,54,11,149,62,141,122,120,97,183,154,362,343
"Cohoes city, New York: Summary level: 160, state:36> place:16749",7484,491,289,853,397,1138,828,1104,817,1711,1502,2187,2022
"Plainview CDP, New York: Summary level: 160, state:36> place:58442",8913,288,179,317,207,485,358,479,289,719,620,6625,6310
"Port Washington North village, New York: Summary level: 160, state:36> place:59531",1229,22,22,134,117,84,41,98,72,98,98,793,785
"Roslyn Harbor village, New York: Summary level: 160, state:36> place:63803",326,2,0,12,12,25,18,2,2,25,19,260,260
"Searingtown CDP, New York: Summary level: 160, state:36> place:66102",1433,16,16,34,22,100,64,68,68,215,164,1000,951
"Thomaston village, New York: Summary level: 160, state:36> place:73605",949,80,75,22,17,52,46,84,74,75,69,636,603
"Clayville village, New York: Summary level: 160, state:36> place:16111",105,7,4,19,9,16,7,9,9,33,32,21,20
"New Hartford village, New York: Summary level: 160, state:36> place:50298",769,42,24,88,25,94,42,46,41,132,125,367,358
"Vernon village, New York: Summary level: 160, state:36> place:77112",502,27,16,104,50,54,36,69,42,82,60,166,141
"Whitesboro village, New York: Summary level: 160, state:36> place:81710",1714,133,115,91,75,486,416,244,178,382,204,378,317
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",4134,128,58,292,150,586,440,511,420,970,783,1647,1519
"Village Green CDP, New York: Summary level: 160, state:36> place:77513",1885,81,32,82,48,356,294,339,267,385,340,642,568
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",647,13,13,49,36,74,26,55,42,116,103,340,328
"McGraw village, New York: Summary level: 160, state:36> place:44193",356,7,3,48,5,47,35,62,41,87,59,105,78
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",1108,66,6,235,151,160,113,167,120,199,156,281,184
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",922,67,37,89,9,88,60,65,55,60,51,553,553
"Bellerose village, New York: Summary level: 160, state:36> place:05639",399,13,8,30,18,13,10,13,13,38,28,292,276
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",5384,68,48,222,109,331,234,307,229,444,350,4012,3885
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",3761,53,38,272,220,274,237,344,283,573,492,2245,2167
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",2502,43,32,130,73,217,139,192,153,228,168,1692,1653
"Harbor Isle CDP, New York: Summary level: 160, state:36> place:32105",395,5,0,8,8,8,8,45,36,66,66,263,263
"Hicksville CDP, New York: Summary level: 160, state:36> place:34374",13296,332,242,601,378,859,668,1031,862,1542,1313,8931,8506
"Lattingtown village, New York: Summary level: 160, state:36> place:41432",632,7,7,10,10,13,9,46,29,100,96,456,419
"Levittown CDP, New York: Summary level: 160, state:36> place:42081",16391,264,204,571,355,885,714,1218,955,1862,1673,11591,11070
"Locust Valley CDP, New York: Summary level: 160, state:36> place:43192",1246,32,22,118,35,53,45,106,85,142,104,795,723
"Lynbrook village, New York: Summary level: 160, state:36> place:43874",7168,143,107,239,132,759,420,512,337,1088,935,4427,4269
"Manhasset CDP, New York: Summary level: 160, state:36> place:44897",2744,173,122,124,69,128,45,250,167,206,159,1863,1760
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",5570,58,49,189,69,313,244,549,451,664,571,3797,3688
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",550,6,6,25,25,39,39,10,10,35,35,435,421
"Oyster Bay CDP, New York: Summary level: 160, state:36> place:55992",2675,96,22,217,134,127,66,292,209,360,266,1583,1484
"Oswego city, New York: Summary level: 160, state:36> place:55574",7551,862,597,1047,725,1424,1043,1076,865,1112,1003,2030,1919
"Parish village, New York: Summary level: 160, state:36> place:56341",182,4,2,13,3,35,26,27,25,40,36,63,63
"Pulaski village, New York: Summary level: 160, state:36> place:59960",933,79,19,142,78,228,173,133,103,152,148,199,192
"Redwood CDP, New York: Summary level: 160, state:36> place:61016",200,0,0,0,0,135,62,24,14,14,14,27,27
"Sackets Harbor village, New York: Summary level: 160, state:36> place:64408",816,18,11,77,35,74,59,153,125,168,162,326,311
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",33144,1770,834,3306,1598,5634,3587,4960,3725,7208,6243,10266,9487
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",238,0,0,12,6,14,9,27,25,39,28,146,142
"Rye Brook village, New York: Summary level: 160, state:36> place:64325",3369,75,47,107,42,131,77,155,136,307,261,2594,2378
"Tuckahoe village, New York: Summary level: 160, state:36> place:75583",2741,171,142,86,61,235,156,321,195,456,380,1472,1349
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",1203,0,0,81,33,219,152,119,88,136,121,648,631
"Middleport village, New York: Summary level: 160, state:36> place:46998",726,28,21,96,63,149,99,149,105,117,111,187,166
"Avoca village, New York: Summary level: 160, state:36> place:03331",362,18,13,30,21,50,36,80,60,87,73,97,77
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",1380,38,38,45,45,82,57,60,32,223,184,932,778
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",143,17,7,37,16,28,20,4,4,19,19,38,32
"Rock Hill CDP, New York: Summary level: 160, state:36> place:63132",535,5,0,0,0,36,36,36,36,85,63,373,325
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",807,83,69,236,69,207,141,126,69,30,30,125,106
"Champlain village, New York: Summary level: 160, state:36> place:13739",440,48,27,71,50,97,69,41,38,81,65,102,99
"Dannemora village, New York: Summary level: 160, state:36> place:19642",324,15,15,27,18,66,57,39,35,79,71,98,98
"Rushville village, New York: Summary level: 160, state:36> place:64199",268,11,0,34,11,46,15,68,63,43,33,66,64
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",1526,58,44,183,95,294,171,228,98,307,293,456,369
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",491,44,5,32,0,106,106,57,57,98,42,154,136
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",9804,205,130,463,312,746,608,824,559,1371,1305,6195,5882
"Greenport West CDP, New York: Summary level: 160, state:36> place:30581",1025,55,32,65,36,114,86,102,71,244,199,445,417
"Yorktown Heights CDP, New York: Summary level: 160, state:36> place:84088",616,37,37,35,35,87,71,47,47,109,65,301,282
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",604,0,0,11,11,37,37,26,26,83,73,447,447
"Pine Bush CDP, New York: Summary level: 160, state:36> place:57980",657,120,40,115,76,53,34,57,48,82,82,230,192
"Walton Park CDP, New York: Summary level: 160, state:36> place:78063",798,0,0,42,42,56,50,26,7,139,84,535,519
"Salisbury CDP, New York: Summary level: 160, state:36> place:64842",3808,76,70,151,97,367,308,217,183,305,292,2692,2592
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",4895,186,145,156,96,283,229,341,224,538,397,3391,3240
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",603,17,8,134,47,26,7,83,65,145,119,198,198
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",3065,172,80,444,169,453,280,422,394,677,645,897,836
"Arkport village, New York: Summary level: 160, state:36> place:02583",361,21,10,49,24,57,19,40,30,62,57,132,124
"Savona village, New York: Summary level: 160, state:36> place:65354",332,41,17,27,13,50,38,64,56,78,59,72,66
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",1161,18,18,182,167,149,44,198,86,146,146,468,468
"Hagaman village, New York: Summary level: 160, state:36> place:31291",655,33,30,48,22,80,49,80,67,203,195,211,211
"Morrisville village, New York: Summary level: 160, state:36> place:48593",262,23,10,14,14,27,20,48,35,81,68,69,58
"Andover village, New York: Summary level: 160, state:36> place:02143",367,18,7,40,30,56,41,66,59,99,69,88,81
"Norwich city, New York: Summary level: 160, state:36> place:53979",2990,247,128,648,355,482,295,381,263,471,388,761,695
"Lyons CDP, New York: Summary level: 160, state:36> place:43962",1457,127,53,193,69,178,94,262,175,376,328,321,321
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",1763,175,127,95,50,130,100,156,82,167,153,1040,1004
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",2838,76,69,144,79,371,185,135,117,306,265,1806,1750
"Orient CDP, New York: Summary level: 160, state:36> place:55321",361,20,14,12,7,27,24,38,35,105,88,159,145
"Quogue village, New York: Summary level: 160, state:36> place:60422",336,0,0,42,23,50,33,24,3,50,40,170,134
"Ridge CDP, New York: Summary level: 160, state:36> place:61665",5669,259,140,614,279,698,456,531,381,1104,960,2463,2279
"Ronkonkoma CDP, New York: Summary level: 160, state:36> place:63473",6059,192,141,310,240,516,371,345,310,797,718,3899,3693
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",685,17,17,0,0,20,20,17,17,54,54,577,577
"Spencer village, New York: Summary level: 160, state:36> place:70167",334,18,8,46,11,51,44,46,30,79,74,94,87
"Catskill village, New York: Summary level: 160, state:36> place:13002",1406,121,100,329,184,245,86,163,119,280,146,268,192
"Greenville CDP (Greene County), New York: Summary level: 160, state:36> place:30609",274,9,9,65,9,25,10,25,7,36,36,114,114
"Harrison village, New York: Summary level: 160, state:36> place:32402",8228,226,169,335,233,481,390,475,390,865,795,5846,5582
"Jefferson Valley-Yorktown CDP, New York: Summary level: 160, state:36> place:38500",5233,117,65,231,124,366,163,326,168,476,342,3717,3579
"Lake Mohegan CDP, New York: Summary level: 160, state:36> place:40689",1954,24,24,115,87,153,139,272,195,149,136,1241,1229
"Milton CDP (Ulster County), New York: Summary level: 160, state:36> place:47554",536,33,8,33,17,31,23,61,40,55,37,323,315
"Greenwich village, New York: Summary level: 160, state:36> place:30675",753,29,3,59,31,111,66,88,79,134,124,332,315
"Holley village, New York: Summary level: 160, state:36> place:35155",793,48,27,112,63,140,89,112,81,213,203,168,157
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",3383,100,50,172,143,330,294,347,264,508,408,1926,1845
"Medford CDP, New York: Summary level: 160, state:36> place:46404",7956,513,487,247,101,750,624,615,574,968,883,4863,4724
"Town Line CDP, New York: Summary level: 160, state:36> place:75121",683,26,26,12,0,55,31,80,66,151,151,359,323
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",1014,13,0,27,11,86,52,86,53,151,116,651,611
"Woodbury village, New York: Summary level: 160, state:36> place:82750",3267,40,40,96,75,160,58,217,194,284,210,2470,2362
"Sagaponack village, New York: Summary level: 160, state:36> place:64452",107,0,0,4,0,0,0,12,12,12,12,79,50
"Westport CDP, New York: Summary level: 160, state:36> place:80764",213,10,0,7,0,54,12,22,8,67,58,53,53
"Ticonderoga CDP, New York: Summary level: 160, state:36> place:73880",1212,89,13,198,136,156,94,174,100,186,169,409,374
"Schenevus CDP, New York: Summary level: 160, state:36> place:65519",210,36,4,33,30,28,20,28,28,37,30,48,44
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",200,0,0,9,7,56,30,61,35,24,24,50,50
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",1123,68,65,48,20,110,64,61,29,168,149,668,606
"Andes CDP, New York: Summary level: 160, state:36> place:02121",113,3,3,12,2,8,8,27,18,26,18,37,37
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",64,4,0,3,0,9,6,7,7,15,11,26,26
"Lido Beach CDP, New York: Summary level: 160, state:36> place:42279",1203,25,25,20,11,51,20,78,43,170,119,859,859
"Matinecock village, New York: Summary level: 160, state:36> place:46107",273,7,7,6,6,18,18,5,2,14,14,223,217
"Mill Neck village, New York: Summary level: 160, state:36> place:47405",341,17,10,9,9,14,14,19,19,24,22,258,253
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",790,0,0,3,3,13,7,20,20,28,23,726,696
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",3884,19,19,144,109,100,74,156,91,436,399,3029,2931
"East Nassau village, New York: Summary level: 160, state:36> place:22557",216,2,0,12,6,19,15,32,22,32,28,119,112
"Menands village, New York: Summary level: 160, state:36> place:46536",1659,101,87,65,50,273,228,206,189,285,211,729,652
"Ravena village, New York: Summary level: 160, state:36> place:60675",1363,94,55,109,64,242,172,193,129,254,196,471,427
"Hamburg village, New York: Summary level: 160, state:36> place:31643",4033,112,61,311,224,393,264,397,317,657,579,2163,2017
"Harris Hill CDP, New York: Summary level: 160, state:36> place:32391",2268,68,29,78,11,272,197,52,38,399,353,1399,1313
"Lake Erie Beach CDP, New York: Summary level: 160, state:36> place:40486",1649,75,60,134,66,260,170,150,134,432,402,598,552
"Lancaster village, New York: Summary level: 160, state:36> place:41135",4600,178,112,401,166,789,528,856,763,780,674,1596,1497
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",1561,47,0,87,26,154,141,180,95,156,148,937,785
